2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
21.447962276860896	21.44096925001646	21.200989569403585	21.13819707634001	21.13031896249562	21.08365289021446	20.890923624736573	20.833014986776373	20.644820452194473	20.846452286801462	20.916935223976797	20.576023638666104
16.914626865671643	16.372232196289648	16.163484486873507	16.466975666280415	16.903814262023218	16.622760800842993	16.505876068376068	16.381195707715893	16.683720930232557	17.322612568035627	17.607963246554366	17.725616291532692
5.360066371681416	5.616732026143791	5.582543155847313	5.732343909928352	6.362322515212981	5.918079833028959	6.243471379583223	6.486032004339571	6.5791831357048745	6.3133849853059045	6.381469831283957	6.304644365053589
7.472454020841117	7.41716158099529	7.400726492198465	7.339947523778288	7.351440601007182	7.487158311999339	7.420820745216516	7.4289126853377265	7.281085184593255	7.3520360897410075	7.302924761864798	7.305660054719562
12.767771639042357	12.69011028747062	12.713175355450238	12.83982180902576	13.012197560487902	13.136676499508358	13.233601841196778	13.283779089961792	13.733499170812603	13.596531413612565	14.142930240491216	13.926729986431479
4.4635761589403975	4.8	5.539898132427844	4.72824427480916	5.238255033557047	4.812962962962963	5.012684989429175	4.5089058524173025	4.086614173228346	3.6211340206185567	4.315315315315315	4.600583090379009
14.1875	14.146341463414634	12.4	12.35593220338983	11.446428571428571	13.840909090909092	12.363636363636363	12.64516129032258	12.101694915254237	15.971428571428572	14.197530864197532	14.535714285714286
2.8242574257425743	3.097130242825607	3.1820276497695854	3.1334792122538295	3.2506265664160403	3.276018099547511	2.692468619246862	3.191358024691358	2.8407407407407406	2.895424836601307	2.513574660633484	2.952267303102625
3.6226415094339623	3.947565543071161	4.550955414012739	3.9435736677115987	4.010067114093959	4.153558052434457	3.6652542372881354	4.2181069958847734	4.176	4.267281105990784	3.901734104046243	3.6458333333333335
4.262448132780083	4.6722222222222225	4.659279778393352	4.662759242560866	4.755718206770357	4.82122905027933	4.9689557855127	4.793478260869565	5.246948356807512	4.745019920318725	4.984536082474227	5.234539089848308
4.54046997389034	4.3489461358313815	4.448356807511737	4.627039627039627	4.838046272493573	4.816867469879518	4.382882882882883	4.835140997830803	5.044083526682135	5.24468085106383	4.927884615384615	4.84366576819407
5.819277108433735	6.3249211356466875	5.5369127516778525	6.026229508196721	6.231343283582089	6.742537313432836	5.169291338582677	5.468503937007874	5.393501805054152	6.069343065693431	5.271653543307087	5.8396946564885495
4.578313253012048	4.351351351351352	4.673913043478261	4.0	5.392857142857143	4.85	6.673076923076923	4.741935483870968	6.5423728813559325	6.627450980392157	6.194444444444445	4.195121951219512
